# Wes Sander, MoltFire
pglib_opf_case200_activ: AC-OPF objective 27557.407716 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0   49     1.3599     0.5269
  1   50     1.3599     0.6544
  2   51     1.3599     0.5284
  3   52     1.3599     0.6539
  4   53     2.7199     0.7014
  5   65    86.5001    -4.9703
  6   67     1.4099    -0.5701
  7   68     8.3799    -3.4101
  8   69     8.3799    -3.4101
  9   70     8.3799    -3.4101
 10   71     8.3799    -3.4101
 11   72     8.3799    -3.4101
 12   73     8.3799    -3.4101
 13   76     1.1999     0.5203
 14   77     0.7199     0.2551
 15   78     0.0000     0.0000
 16   79     0.0000     0.0000
 17   90     0.9599    -0.3601
 18   91     1.4999    -0.5501
 19   92     0.0000     0.0000
 20   94     5.3999    -2.2001
 21  104    67.6001     0.8019
 22  105   154.8001     6.4443
 23  114     1.4001     0.3059
 24  115   133.5001    23.6093
 25  125    39.0199     6.3902
 26  126    39.0199    16.1449
 27  127    39.0199    22.9783
 28  135   133.9199    26.6614
 29  136   133.9199    25.7217
 30  147    92.4001    11.1146
 31  151     1.6199    -0.6407
 32  152    23.1699    -5.3361
 33  153    23.1699    -1.8691
 34  154    23.1699    -5.5300
 35  155    23.1699    -5.5456
 36  161     0.0000     0.0000
 37  164     0.0000     0.0000
 38  165     0.0000     0.0000
 39  166     0.0000     0.0000
 40  167     2.8199    -1.0401
 41  168     0.0000     0.0000
 42  169     0.0000     0.0000
 43  170     2.8199    -1.0401
 44  182     5.2499     0.8824
 45  183     7.9799     1.9876
 46  189   383.3876   -46.6701
 47  196     0.0000     0.0000
 48  197     0.0000     0.0000

bus  Vm[pu]  Va[deg]
  62  1.06212  -10.4120
  63  1.07938   -7.5348
  64  1.07803   -2.2429
  65  1.07122    2.1235
  66  1.07285   -7.1454
  67  1.07236   -7.0378
  68  1.06470   -6.0197
  69  1.07015   -6.7407
  70  1.06690   -6.2970
  71  1.07051   -6.7985
  72  1.07074   -6.8276
  73  1.06866   -6.5205
  74  1.06971   -4.6864
  75  1.08145   -5.6769
  76  1.08560   -5.2273
  77  1.08703   -4.9176
  78  1.08145   -5.6769
  79  1.08145   -5.6769
  80  1.09243   -6.6994
  81  1.08480   -3.6185
  82  1.08169   -4.3735
  83  1.08219   -4.8023
  84  1.07108   -5.4063
  85  1.06578   -9.1058
  86  1.06817   -7.0501
  87  1.06880   -8.4915
  88  1.06811   -9.6142
  89  1.08319   -5.5437
  90  1.07590   -4.4569
  91  1.08095   -5.1675
  92  1.08319   -5.5437
  93  1.08320   -7.0576
  94  1.07791   -6.3025
  95  1.09403   -5.6926
  96  1.08459   -4.2680
  97  1.07386   -7.4492
  98  1.07935   -5.2984
  99  1.07536   -6.0568
 100  1.10000   -7.2412
 101  1.06912   -6.9176
 102  1.08545   -1.7613
 103  1.08408   -2.6426
 104  1.08603    1.1222
 105  1.08706    2.7066
 106  1.08212   -3.3485
 107  1.06781   -5.4565
 108  1.07919   -6.1087
 109  1.07550   -6.5864
 110  1.06918   -6.9248
 111  1.08689   -7.4437
 112  1.08398   -2.2635
 113  1.07277   -4.8667
 114  1.08596   -1.9767
 115  1.09637    1.7652
 116  1.07921   -5.0375
 117  1.07274   -6.2601
 118  1.07537   -6.2649
 119  1.06876   -7.2789
 120  1.06812   -8.5314
 121  1.08363   -2.3521
 122  1.08355   -3.2119
 123  1.08472   -4.4892
 124  1.07753   -5.8571
 125  1.09181   -2.5288
 126  1.09474   -3.2572
 127  1.09170   -3.9020
 128  1.08321   -2.4925
 129  1.07073   -4.8929
 130  1.08044   -3.9255
 131  1.06967   -6.9161
 132  1.06730   -6.5996
 133  1.08622   -4.1050
 134  1.08393   -4.8812
 135  1.09414   -1.9464
 136  1.09270   -2.3336
 137  1.06566   -8.9143
 138  1.07811   -5.2668
 139  1.07198   -6.7928
 140  1.07624   -5.9300
 141  1.06915   -6.9496
 142  1.06801   -7.0360
 143  1.08236   -6.0438
 144  1.07543   -5.4952
 145  1.06353  -10.2631
 146  1.08530   -3.7748
 147  1.09436    0.7546
 148  1.06434   -7.5514
 149  1.06982   -8.1117
 150  1.07079   -9.1655
 151  1.06636   -7.5955
 152  1.06280   -6.4505
 153  1.06702   -5.9592
 154  1.06478   -6.9050
 155  1.06494   -6.9414
 156  1.08500   -4.4209
 157  1.08333   -5.0674
 158  1.07686   -7.2135
 159  1.06357   -9.8800
 160  1.06494  -10.3339
 161  1.06494  -10.3339
 162  1.07489   -5.7642
 163  1.08760   -7.3117
 164  1.08760   -7.3117
 165  1.08760   -7.3116
 166  1.08760   -7.3116
 167  1.08598   -7.0376
 168  1.08760   -7.3116
 169  1.08760   -7.3116
 170  1.08439   -6.7898
 171  1.07343   -5.1024
 172  1.08589   -6.1902
 173  1.08863   -7.2200
 174  1.09316   -6.4384
 175  1.08723   -7.4278
 176  1.06549   -9.9662
 177  1.07949   -5.0654
 178  1.08643   -4.5215
 179  1.09087   -6.3773
 180  1.08697   -6.5526
 181  1.06629  -10.2894
 182  1.06919   -9.5087
 183  1.06873   -9.8356
 184  1.08993   -7.6258
 185  1.06555   -9.9871
 186  1.08028   -5.4970
 187  1.08343   -1.4731
 188  1.08658   -3.9458
 189  1.08076    0.0000
 190  1.06967   -5.1439
 191  1.08502   -7.1273
 192  1.06817   -5.5451
 193  1.07020   -6.8213
 194  1.07199   -9.8301
 195  1.07948   -4.7386
 196  1.07948   -4.7386
 197  1.07948   -4.7386
 198  1.07650   -6.3449
 199  1.08402   -5.2392
 200  1.06971   -8.6266
